001  00124 |Loss: 1.898 | Acc: 30.160%
001  00125 |Loss: 1.896 | Acc: 30.231%
001  00126 |Loss: 1.895 | Acc: 30.295%
001  00127 |Loss: 1.892 | Acc: 30.407%
001  00128 |Loss: 1.894 | Acc: 30.237%
001  00129 |Loss: 1.892 | Acc: 30.299%
001  00130 |Loss: 1.893 | Acc: 30.306%
001  00131 |Loss: 1.890 | Acc: 30.385%
001  00132 |Loss: 1.892 | Acc: 30.279%
001  00133 |Loss: 1.893 | Acc: 30.287%
001  00134 |Loss: 1.892 | Acc: 30.387%
001  00135 |Loss: 1.889 | Acc: 30.486%
001  00136 |Loss: 1.887 | Acc: 30.538%
001  00137 |Loss: 1.884 | Acc: 30.697%
001  00138 |Loss: 1.882 | Acc: 30.780%
001  00139 |Loss: 1.879 | Acc: 30.817%
001  00140 |Loss: 1.882 | Acc: 30.686%
001  00141 |Loss: 1.880 | Acc: 30.757%
001  00142 |Loss: 1.877 | Acc: 30.870%
001  00143 |Loss: 1.874 | Acc: 30.993%
001  00144 |Loss: 1.872 | Acc: 31.060%
001  00145 |Loss: 1.870 | Acc: 31.137%
001  00146 |Loss: 1.867 | Acc: 31.250%
001  00147 |Loss: 1.868 | Acc: 31.271%
001  00148 |Loss: 1.869 | Acc: 31.303%
001  00149 |Loss: 1.870 | Acc: 31.245%
001  00150 |Loss: 1.869 | Acc: 31.302%
001  00151 |Loss: 1.867 | Acc: 31.405%
001  00152 |Loss: 1.868 | Acc: 31.337%
001  00153 |Loss: 1.870 | Acc: 31.204%
001  00154 |Loss: 1.867 | Acc: 31.291%
001  00155 |Loss: 1.864 | Acc: 31.366%
001  00156 |Loss: 1.864 | Acc: 31.420%
001  00157 |Loss: 1.862 | Acc: 31.544%
001  00158 |Loss: 1.862 | Acc: 31.606%
001  00159 |Loss: 1.860 | Acc: 31.658%
001  00160 |Loss: 1.856 | Acc: 31.812%
001  00161 |Loss: 1.856 | Acc: 31.857%
001  00162 |Loss: 1.854 | Acc: 31.944%
001  00163 |Loss: 1.852 | Acc: 32.022%
001  00164 |Loss: 1.850 | Acc: 32.079%
001  00165 |Loss: 1.847 | Acc: 32.131%
001  00166 |Loss: 1.849 | Acc: 32.045%
001  00167 |Loss: 1.847 | Acc: 32.144%
001  00168 |Loss: 1.848 | Acc: 32.148%
001  00169 |Loss: 1.845 | Acc: 32.272%
001  00170 |Loss: 1.843 | Acc: 32.335%
001  00171 |Loss: 1.840 | Acc: 32.442%
001  00172 |Loss: 1.838 | Acc: 32.535%
001  00173 |Loss: 1.839 | Acc: 32.605%
001  00174 |Loss: 1.839 | Acc: 32.615%
001  00175 |Loss: 1.838 | Acc: 32.670%
001  00176 |Loss: 1.836 | Acc: 32.684%
001  00177 |Loss: 1.834 | Acc: 32.790%
001  00178 |Loss: 1.831 | Acc: 32.878%
001  00179 |Loss: 1.832 | Acc: 32.852%
001  00180 |Loss: 1.832 | Acc: 32.938%
001  00181 |Loss: 1.830 | Acc: 33.002%
001  00182 |Loss: 1.831 | Acc: 32.997%
001  00183 |Loss: 1.831 | Acc: 33.026%
001  00184 |Loss: 1.832 | Acc: 33.008%
001  00185 |Loss: 1.831 | Acc: 33.104%
001  00186 |Loss: 1.832 | Acc: 33.027%
001  00187 |Loss: 1.830 | Acc: 33.126%
001  00188 |Loss: 1.827 | Acc: 33.187%
001  00189 |Loss: 1.825 | Acc: 33.288%
001  00190 |Loss: 1.827 | Acc: 33.236%
001  00191 |Loss: 1.828 | Acc: 33.222%
001  00192 |Loss: 1.829 | Acc: 33.207%
001  00193 |Loss: 1.827 | Acc: 33.298%
001  00194 |Loss: 1.827 | Acc: 33.368%
001  00195 |Loss: 1.828 | Acc: 33.353%
001  00196 |Loss: 1.828 | Acc: 33.379%
001  00197 |Loss: 1.827 | Acc: 33.439%
001  00198 |Loss: 1.825 | Acc: 33.507%
001  00199 |Loss: 1.825 | Acc: 33.539%
001  00200 |Loss: 1.824 | Acc: 33.621%
001  00201 |Loss: 1.825 | Acc: 33.629%
001  00202 |Loss: 1.823 | Acc: 33.671%
001  00203 |Loss: 1.821 | Acc: 33.744%
001  00204 |Loss: 1.820 | Acc: 33.824%
001  00205 |Loss: 1.822 | Acc: 33.784%
001  00206 |Loss: 1.821 | Acc: 33.833%
001  00207 |Loss: 1.818 | Acc: 33.926%
001  00208 |Loss: 1.818 | Acc: 33.996%
001  00209 |Loss: 1.818 | Acc: 34.031%
001  00210 |Loss: 1.816 | Acc: 34.122%
001  00211 |Loss: 1.813 | Acc: 34.212%
001  00212 |Loss: 1.811 | Acc: 34.276%
001  00213 |Loss: 1.808 | Acc: 34.386%
001  00214 |Loss: 1.807 | Acc: 34.470%
001  00215 |Loss: 1.806 | Acc: 34.517%
001  00216 |Loss: 1.805 | Acc: 34.549%
001  00217 |Loss: 1.807 | Acc: 34.537%
001  00218 |Loss: 1.805 | Acc: 34.612%
001  00219 |Loss: 1.804 | Acc: 34.632%
001  00220 |Loss: 1.804 | Acc: 34.634%
001  00221 |Loss: 1.803 | Acc: 34.654%
001  00222 |Loss: 1.803 | Acc: 34.685%
001  00223 |Loss: 1.802 | Acc: 34.757%
001  00224 |Loss: 1.800 | Acc: 34.794%
001  00225 |Loss: 1.802 | Acc: 34.753%
001  00226 |Loss: 1.803 | Acc: 34.638%
001  00227 |Loss: 1.804 | Acc: 34.551%
001  00228 |Loss: 1.804 | Acc: 34.615%
001  00229 |Loss: 1.802 | Acc: 34.703%
001  00230 |Loss: 1.803 | Acc: 34.623%
001  00231 |Loss: 1.804 | Acc: 34.551%
001  00232 |Loss: 1.802 | Acc: 34.628%
001  00233 |Loss: 1.801 | Acc: 34.673%
001  00234 |Loss: 1.800 | Acc: 34.709%
001  00235 |Loss: 1.798 | Acc: 34.787%
001  00236 |Loss: 1.799 | Acc: 34.772%
001  00237 |Loss: 1.798 | Acc: 34.833%
